snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4320400025111,e2268977c0dad59483fa,,中央小学校,未開設(Web開設一覧に掲載なし),false,,,熊本県荒尾4043,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,47729b43fa1de2717450bc70be02e7c6a3897b66ae2cc1591ef0c0e9b536ba72,"{""ルート検索"": """", ""住所"": ""熊本県荒尾4043"", ""市町村"": """", ""混雑状況"": """", ""避難所名"": ""中央小学校"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,659,E4320400025111,E4320400025111,中央小学校,熊本県荒尾4043,,,,32.9805055,130.4591432,"[{""共通ID"": ""E4320400025111"", ""経度"": ""130.4591432"", ""緯度"": ""32.9805055""}]",,"[{""NO"": ""659"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県荒尾4043"", ""備考"": """", ""共通ID"": ""E4320400025111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""中央小学校"", ""経度"": ""130.4591432"", ""緯度"": ""32.9805055""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,00002323,100,100,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,portal_shelter_id,1.000,32.98055215324231,130.45917463328806,,,unmatched,manual_no_match,,,32.9805055,130.4591432,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400003121,d3cac1b7b9c518481c1b,あさぎり町,ふれあい福祉センター,未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町岡原北929,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,e3293c22c007d068b5743782e7dc5ad80a33f0fbd6471a9d3fe1a213b5e64c86,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町岡原北929"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""ふれあい福祉センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,3,E4351400003121,E4351400003121,ふれあい福祉センター,熊本県あさぎり町岡原北929,,,,32.240124,130.929311,"[{""共通ID"": ""E4351400003121"", ""経度"": ""130.929311"", ""緯度"": ""32.240124""}]",,"[{""NO"": ""3"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町岡原北929"", ""備考"": """", ""共通ID"": ""E4351400003121"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""ふれあい福祉センター"", ""経度"": ""130.929311"", ""緯度"": ""32.240124""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.240124,130.929311,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400002112,cc98fb4b1fc9b168640f,あさぎり町,もみじ館(予備:岡原保健センター),未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町岡原北904,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,cb673a8db9b0f29b919d503f7cce5ecd65e46984889722cf9f1ef6a70653a838,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町岡原北904"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""もみじ館(予備:岡原保健センター)"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,2,E4351400002112,E4351400002112,もみじ館(予備:岡原保健センター),熊本県あさぎり町岡原北904,,,,32.239590193854,130.93188707796,"[{""共通ID"": ""E4351400002112"", ""経度"": ""130.93188707796"", ""緯度"": ""32.239590193854""}]",,"[{""NO"": ""2"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町岡原北904"", ""備考"": """", ""共通ID"": ""E4351400002112"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""もみじ館(予備:岡原保健センター)"", ""経度"": ""130.93188707796"", ""緯度"": ""32.239590193854""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.239590193854,130.93188707796,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400004111,ba6ef368ae4258c3d710,あさぎり町,上総合運動公園体育館(予備:武道場),未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町上東128-2,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,6a8518b4ada395cb9c9ebb06bf5c0e1f210dc8dfd53e28dedfea49c30d28343e,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町上東128-2"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""上総合運動公園体育館(予備:武道場)"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,4,E4351400004111,E4351400004111,上総合運動公園体育館(予備:武道場),熊本県あさぎり町上東128-2,,,,32.221566156341,130.90970751655,"[{""共通ID"": ""E4351400004111"", ""経度"": ""130.90970751655"", ""緯度"": ""32.221566156341""}]",,"[{""NO"": ""4"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町上東128-2"", ""備考"": """", ""共通ID"": ""E4351400004111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""上総合運動公園体育館(予備:武道場)"", ""経度"": ""130.90970751655"", ""緯度"": ""32.221566156341""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,fuzzy_below_threshold,0.883,,,,,unmatched,manual_no_match,,,32.221566156341,130.90970751655,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400019111,c4a36b8d6497b30c066e,あさぎり町,免田地区体育館(予備:武道場),未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町免田東1774,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,9db4add13ec207f43fa23effd27d923ffbaae8416d87a55b63e9a759ab61002e,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町免田東1774"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""免田地区体育館(予備:武道場)"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,11,E4351400019111,E4351400019111,免田地区体育館(予備:武道場),熊本県あさぎり町免田東1774,,,,32.234893,130.898965,"[{""共通ID"": ""E4351400019111"", ""経度"": ""130.898965"", ""緯度"": ""32.234893""}]",,"[{""NO"": ""11"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町免田東1774"", ""備考"": """", ""共通ID"": ""E4351400019111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""免田地区体育館(予備:武道場)"", ""経度"": ""130.898965"", ""緯度"": ""32.234893""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.234893,130.898965,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400018111,c4c816be43fe1c22db4a,あさぎり町,免田小学校体育館,未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町免田東1719,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,2e1fd597e5fba2b99a28c334873924ac3f72c458c84d6fc670dc456295dd0472,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町免田東1719"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""免田小学校体育館"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,10,E4351400018111,E4351400018111,免田小学校体育館,熊本県あさぎり町免田東1719,,,,32.235215,130.896114,"[{""共通ID"": ""E4351400018111"", ""経度"": ""130.896114"", ""緯度"": ""32.235215""}]",,"[{""NO"": ""10"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町免田東1719"", ""備考"": """", ""共通ID"": ""E4351400018111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""免田小学校体育館"", ""経度"": ""130.896114"", ""緯度"": ""32.235215""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.235215,130.896114,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400009111,a2bdacd520bab6a985d5,あさぎり町,南稜高校体育館,未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町上北310,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,cb9bd2dbf31f8975cdf4021ea1ed79914f18cb3f9ded72b2e63002aa59607078,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町上北310"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""南稜高校体育館"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,5,E4351400009111,E4351400009111,南稜高校体育館,熊本県あさぎり町上北310,,,,32.232361,130.895509,"[{""共通ID"": ""E4351400009111"", ""経度"": ""130.895509"", ""緯度"": ""32.232361""}]",,"[{""NO"": ""5"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町上北310"", ""備考"": """", ""共通ID"": ""E4351400009111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""南稜高校体育館"", ""経度"": ""130.895509"", ""緯度"": ""32.232361""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.232361,130.895509,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400001111,76eb4bd7ca44994d3762,あさぎり町,岡原小学校体育館,未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町岡原北1313,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,429a271c899ae25095c6a29face7b656c7da6b6c0938d47f1f8db28be866946f,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町岡原北1313"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""岡原小学校体育館"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,1,E4351400001111,E4351400001111,岡原小学校体育館,熊本県あさぎり町岡原北1313,,,,32.237951,130.933561,"[{""共通ID"": ""E4351400001111"", ""経度"": ""130.933561"", ""緯度"": ""32.237951""}]",,"[{""NO"": ""1"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町岡原北1313"", ""備考"": """", ""共通ID"": ""E4351400001111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""岡原小学校体育館"", ""経度"": ""130.933561"", ""緯度"": ""32.237951""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.237951,130.933561,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400013111,32197517ab7f7783605f,あさぎり町,深田小学校体育館,未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町深田東787,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,f6d32fdc1bb880af422d1fc57e7a308a67bbcc7813e960ffe951f2d680baffe9,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町深田東787"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""深田小学校体育館"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,7,E4351400013111,E4351400013111,深田小学校体育館,熊本県あさぎり町深田東787,,,,32.24468,130.875254,"[{""共通ID"": ""E4351400013111"", ""経度"": ""130.875254"", ""緯度"": ""32.24468""}]",,"[{""NO"": ""7"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町深田東787"", ""備考"": """", ""共通ID"": ""E4351400013111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""深田小学校体育館"", ""経度"": ""130.875254"", ""緯度"": ""32.24468""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.24468,130.875254,gsi_reference,reference_latitude_longitude,complete
2026-07-29,2026-07-29T23:54:02+09:00,26/07/29 23:54時点の避難所状況の一覧です。,2026-07-29T23:54+09:00,ref:E4351400011111,644a68526dcfba013d5f,あさぎり町,深田高山総合運動公園体育館(予備:定住促進センター),未開設(Web開設一覧に掲載なし),false,,,熊本県あさぎり町深田東1404,,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=14-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,43dc899efbae94514710b6e9158a3998bc0da521356d3c0ce9f81d440dfacb47,"{""ルート検索"": """", ""住所"": ""熊本県あさぎり町深田東1404"", ""市町村"": ""あさぎり町"", ""混雑状況"": """", ""避難所名"": ""深田高山総合運動公園体育館(予備:定住促進センター)"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,6,E4351400011111,E4351400011111,深田高山総合運動公園体育館(予備:定住促進センター),熊本県あさぎり町深田東1404,,,,32.250474,130.877483,"[{""共通ID"": ""E4351400011111"", ""経度"": ""130.877483"", ""緯度"": ""32.250474""}]",,"[{""NO"": ""6"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県あさぎり町深田東1404"", ""備考"": """", ""共通ID"": ""E4351400011111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": """", ""施設・場所名"": ""深田高山総合運動公園体育館(予備:定住促進センター)"", ""経度"": ""130.877483"", ""緯度"": ""32.250474""}]",[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,,,,,,unmatched,no_candidate,,,,,,unmatched,manual_no_match,,,32.250474,130.877483,gsi_reference,reference_latitude_longitude,complete
