snapshot_date_jst,retrieved_at_jst,source_updated_at_text,source_updated_at_jst,shelter_id,web_shelter_id,municipality,shelter_name,opening_status,is_open,congestion_status,evacuee_count,address,route_search,change_type,previous_opening_status,previous_congestion_status,previous_evacuee_count,source_url,record_hash,raw_row_json,reference_match_status,reference_match_method,reference_match_score,reference_match_count,reference_no,reference_common_id,reference_common_ids,reference_facility_name,reference_address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,reference_latitude,reference_longitude,reference_all_coordinates_json,reference_notes,reference_rows_json,reference_candidates_json,reference_source_file,reference_source_sha256,change_details,portal_shelter_id,portal_capacity_persons,portal_capacity_raw,capacity_source,capacity_acquired_at_jst,capacity_match_status,capacity_match_method,capacity_match_score,portal_latitude,portal_longitude,manual_latitude,manual_longitude,manual_geocode_status,manual_geocode_method,manual_geocode_source_file,manual_geocode_source_sha256,latitude,longitude,coordinate_source,coordinate_method,coordinate_status
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,web:b276f19a065b0486ded4,b276f19a065b0486ded4,八代市,代陽小学校,開設,true,---,,八代市北の丸町1-7,検索,removed_from_listing,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,9dc0e235c835f422158c8e07db56aa28feafc1be32ae2e2a7b5f652205f63c65,"{""ルート検索"": ""検索"", ""住所"": ""八代市北の丸町1-7"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""代陽小学校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,dd6686fa000c3e720180ba96d02aacff987aec1bba3c9bc69a5867fc0089d10d,前回スナップショットには存在したが今回の全避難所一覧に存在しない,00000719,1000,1000,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.509506,130.601759,32.50952708,130.6017492,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.50952708,130.6017492,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,web:e79d19687486af4f979e,e79d19687486af4f979e,八代市,坂本コミュニティセンター,開設,true,---,,八代市坂本町坂本4161-1,検索,congestion_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,3f31007b59d87f1a9fa0094e1ac0ed76c656b249f4e5d5d25515babf83417b26,"{""ルート検索"": ""検索"", ""住所"": ""八代市坂本町坂本4161-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""坂本コミュニティセンター"", ""開設状況"": ""開設""}",unmatched,fuzzy_below_threshold,0.775,0,,,,,,,,,,,[],,[],"[{""NO"": ""1238"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市泉町栗木5866"", ""備考"": """", ""共通ID"": ""E4320200081111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""泉コミュニティセンター"", ""経度"": ""130.808105877186"", ""緯度"": ""32.5457986916214""}, {""NO"": ""1224"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市昭和明徴町730-1"", ""備考"": """", ""共通ID"": ""E4320200054111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""昭和コミュニティセンター"", ""経度"": ""130.6036164"", ""緯度"": ""32.55967579""}, {""NO"": ""1258"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市本野町505"", ""備考"": """", ""共通ID"": ""E4320200118111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""高田コミュニティセンター"", ""経度"": ""130.6167216"", ""緯度"": ""32.48708486""}]",reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: 平常 -> ---,00000676,248,248,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.43511,130.65725,32.43640245,130.6579595,matched,manual_shelter_id,マニュアルジオコーディング(1).csv,35f5dae36fe4e9577c53f227bd933e4604ed40e589ee27a700add2b32438424c,32.43640245,130.6579595,manual_geocoding,manual_shelter_id,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4320200106111,c88fda3b4ba615424f45,八代市,日奈久コミュニティセンター,開設,true,混雑,,八代市日奈久塩南町甲13,検索,congestion_changed,開設,やや混雑,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,bc621451e7163216cff1dddfa9a40087ac37a6706bfd9ec69dccb5794fb86f38,"{""ルート検索"": ""検索"", ""住所"": ""八代市日奈久塩南町甲13"", ""市町村"": ""八代市"", ""混雑状況"": ""混雑"", ""避難所名"": ""日奈久コミュニティセンター"", ""開設状況"": ""開設""}",matched,exact_name_address,1.000,1,1250,E4320200106111,E4320200106111,日奈久コミュニティセンター,熊本県八代市日奈久塩南町甲13,1,,,32.43494402,130.5788893,"[{""共通ID"": ""E4320200106111"", ""経度"": ""130.5788893"", ""緯度"": ""32.43494402""}]",,"[{""NO"": ""1250"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市日奈久塩南町甲13"", ""備考"": """", ""共通ID"": ""E4320200106111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""日奈久コミュニティセンター"", ""経度"": ""130.5788893"", ""緯度"": ""32.43494402""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: やや混雑 -> 混雑,00000706,100,100,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.434993,130.578835,,,unmatched,manual_no_match,,,32.43494402,130.5788893,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4320200095111,20afdd3c0a2dd2d82e47,八代市,東陽コミュニティセンター及び東陽スポーツセンター,開設,true,平常,,八代市東陽町南1285,検索,congestion_changed,開設,---,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,8462737963f3270e96f4797f7e037fde8ed36552d616b9abc49efea20f03650d,"{""ルート検索"": ""検索"", ""住所"": ""八代市東陽町南1285"", ""市町村"": ""八代市"", ""混雑状況"": ""平常"", ""避難所名"": ""東陽コミュニティセンター及び東陽スポーツセンター"", ""開設状況"": ""開設""}",matched,exact_name_address,1.000,1,1242,E4320200095111,E4320200095111,東陽コミュニティセンター及び東陽スポーツセンター,熊本県八代市東陽町南1285,1,,,32.54394448,130.7113432,"[{""共通ID"": ""E4320200095111"", ""経度"": ""130.7113432"", ""緯度"": ""32.54394448""}]",,"[{""NO"": ""1242"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県八代市東陽町南1285"", ""備考"": """", ""共通ID"": ""E4320200095111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""東陽コミュニティセンター及び東陽スポーツセンター"", ""経度"": ""130.7113432"", ""緯度"": ""32.54394448""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,混雑状況: --- -> 平常,00000670,850,850,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.54433511191955,130.71083300019381,,,unmatched,manual_no_match,,,32.54394448,130.7113432,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,web:97a7c66c4ffa0e24bc31,97a7c66c4ffa0e24bc31,八代市,鏡中学校,開設,true,---,,八代市鏡町内田1038-1,検索,new,,,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,b098a9cfa06f76f18a03ef1e3617d099d5345a1f90a6e94a386c13d25515b8c8,"{""ルート検索"": ""検索"", ""住所"": ""八代市鏡町内田1038-1"", ""市町村"": ""八代市"", ""混雑状況"": ""---"", ""避難所名"": ""鏡中学校"", ""開設状況"": ""開設""}",unmatched,no_candidate,,0,,,,,,,,,,,[],,[],[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,前回スナップショットに同一避難所なし,00000744,370,370,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.560646,130.645834,,,unmatched,manual_no_match,,,32.560646,130.645834,kumamoto_portal,portal_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4321600028111,c956247a9a757a1e037d,合志市,合志市防災拠点センター,未開設(Web開設一覧に掲載なし),false,,,熊本県合志市竹迫2140,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,a178c5a451da4944f6fae2cfa30f935b2f5333ad7e03ea7092884f9dca5622a6,"{""ルート検索"": """", ""住所"": ""熊本県合志市竹迫2140"", ""市町村"": ""合志市"", ""混雑状況"": """", ""避難所名"": ""合志市防災拠点センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,722,E4321600028111,E4321600028111,合志市防災拠点センター,熊本県合志市竹迫2140,1,,,32.8859395067189,130.789870143986,"[{""共通ID"": ""E4321600028111"", ""経度"": ""130.789870143986"", ""緯度"": ""32.8859395067189""}]",,"[{""NO"": ""722"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県合志市竹迫2140"", ""備考"": """", ""共通ID"": ""E4321600028111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""合志市防災拠点センター"", ""経度"": ""130.789870143986"", ""緯度"": ""32.8859395067189""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 合志市竹迫2140 -> 熊本県合志市竹迫2140,00000539,380,380,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.886007,130.78974,,,unmatched,manual_no_match,,,32.8859395067189,130.789870143986,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4321600048111,8eae1a9418559230e92d,合志市,野々島防災拠点センター,未開設(Web開設一覧に掲載なし),false,,,熊本県合志市野々島4855,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,e099c970fb682ee173486eb11b0dd41060e6791b41777004765d4590dc4217ef,"{""ルート検索"": """", ""住所"": ""熊本県合志市野々島4855"", ""市町村"": ""合志市"", ""混雑状況"": """", ""避難所名"": ""野々島防災拠点センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,729,E4321600048111,E4321600048111,野々島防災拠点センター,熊本県合志市野々島4855,1,,,32.90660196,130.7385212,"[{""共通ID"": ""E4321600048111"", ""経度"": ""130.7385212"", ""緯度"": ""32.90660196""}]",,"[{""NO"": ""729"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県合志市野々島4855"", ""備考"": """", ""共通ID"": ""E4321600048111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""野々島防災拠点センター"", ""経度"": ""130.7385212"", ""緯度"": ""32.90660196""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 合志市野々島4855 -> 熊本県合志市野々島4855,00001403,485,485,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.906752,130.738585,,,unmatched,manual_no_match,,,32.90660196,130.7385212,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4321600017111,8cace7569615b83d82de,合志市,須屋市民センター,未開設(Web開設一覧に掲載なし),false,,,熊本県合志市須屋1399,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,e6d2e5ac51178f2f7f5112587e3cf8a9cb04341009be079ecea6764fe90079d9,"{""ルート検索"": """", ""住所"": ""熊本県合志市須屋1399"", ""市町村"": ""合志市"", ""混雑状況"": """", ""避難所名"": ""須屋市民センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,713,E4321600017111,E4321600017111,須屋市民センター,熊本県合志市須屋1399,1,,,32.857254198689,130.73923169838,"[{""共通ID"": ""E4321600017111"", ""経度"": ""130.73923169838"", ""緯度"": ""32.857254198689""}]",,"[{""NO"": ""713"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県合志市須屋1399"", ""備考"": """", ""共通ID"": ""E4321600017111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""須屋市民センター"", ""経度"": ""130.73923169838"", ""緯度"": ""32.857254198689""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 合志市須屋1399 -> 熊本県合志市須屋1399,00001404,1716,1716,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.857287,130.739178,,,unmatched,manual_no_match,,,32.857254198689,130.73923169838,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4321600023111,c415513bdb9f3558a2e9,合志市,黒石防災拠点センター,未開設(Web開設一覧に掲載なし),false,,,熊本県合志市須屋2811-2,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,f9fc1a0406ed70d2678d39241aac58ba28d41bace0ad72fd2c77211c3ff617ac,"{""ルート検索"": """", ""住所"": ""熊本県合志市須屋2811-2"", ""市町村"": ""合志市"", ""混雑状況"": """", ""避難所名"": ""黒石防災拠点センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,719,E4321600023111,E4321600023111,黒石防災拠点センター,熊本県合志市須屋2811-2,1,,,32.867108,130.748028,"[{""共通ID"": ""E4321600023111"", ""経度"": ""130.748028"", ""緯度"": ""32.867108""}]",,"[{""NO"": ""719"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県合志市須屋2811-2"", ""備考"": """", ""共通ID"": ""E4321600023111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""黒石防災拠点センター"", ""経度"": ""130.748028"", ""緯度"": ""32.867108""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 合志市須屋2811-2 -> 熊本県合志市須屋2811-2,00002113,449,449,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.86706676929905,130.74863433575956,,,unmatched,manual_no_match,,,32.867108,130.748028,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4320800005111,58a0bc40f9ed2bedfe4b,山鹿市,菊鹿市民センター,未開設(Web開設一覧に掲載なし),false,,,熊本県山鹿市菊鹿町下内田713,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,89f052fced5b62e0662dfdaec6ef8fd8e740ff2d120f9631a05bd9634f0189b1,"{""ルート検索"": """", ""住所"": ""熊本県山鹿市菊鹿町下内田713"", ""市町村"": ""山鹿市"", ""混雑状況"": """", ""避難所名"": ""菊鹿市民センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,745,E4320800005111,E4320800005111,菊鹿市民センター,熊本県山鹿市菊鹿町下内田713,1,,,33.02809,130.768629,"[{""共通ID"": ""E4320800005111"", ""経度"": ""130.768629"", ""緯度"": ""33.02809""}]",,"[{""NO"": ""745"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県山鹿市菊鹿町下内田713"", ""備考"": """", ""共通ID"": ""E4320800005111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""菊鹿市民センター"", ""経度"": ""130.768629"", ""緯度"": ""33.02809""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 山鹿市菊鹿町下内田713 -> 熊本県山鹿市菊鹿町下内田713,00000937,321,321,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,33.0281,130.768693,,,unmatched,manual_no_match,,,33.02809,130.768629,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4320800034111,9ef355f58ce335148d1b,山鹿市,鹿北市民センター,未開設(Web開設一覧に掲載なし),false,,,熊本県山鹿市鹿北町四丁1612,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,ed2a2161a3ca81de220f40e029f14d5be572ebe7046fd656a64a3eff3904aab0,"{""ルート検索"": """", ""住所"": ""熊本県山鹿市鹿北町四丁1612"", ""市町村"": ""山鹿市"", ""混雑状況"": """", ""避難所名"": ""鹿北市民センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,760,E4320800034111,E4320800034111,鹿北市民センター,熊本県山鹿市鹿北町四丁1612,1,,,33.109103,130.693903,"[{""共通ID"": ""E4320800034111"", ""経度"": ""130.693903"", ""緯度"": ""33.109103""}]",,"[{""NO"": ""760"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県山鹿市鹿北町四丁1612"", ""備考"": """", ""共通ID"": ""E4320800034111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""鹿北市民センター"", ""経度"": ""130.693903"", ""緯度"": ""33.109103""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 山鹿市鹿北町四丁1612 -> 熊本県山鹿市鹿北町四丁1612,00000926,210,210,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,33.108481,130.693656,,,unmatched,manual_no_match,,,33.109103,130.693903,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4320800024111,d6ebfd1041ab029ac220,山鹿市,鹿央市民センター,未開設(Web開設一覧に掲載なし),false,,,熊本県山鹿市鹿央町合里158-1,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,a5fd2e0b81ea1faa67b11d6b6c142656ff558fd258d5eabd8141cfd5c50903ab,"{""ルート検索"": """", ""住所"": ""熊本県山鹿市鹿央町合里158-1"", ""市町村"": ""山鹿市"", ""混雑状況"": """", ""避難所名"": ""鹿央市民センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,755,E4320800024111,E4320800024111,鹿央市民センター,熊本県山鹿市鹿央町合里158-1,1,,,32.974807472132,130.68384414552,"[{""共通ID"": ""E4320800024111"", ""経度"": ""130.68384414552"", ""緯度"": ""32.974807472132""}]",,"[{""NO"": ""755"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県山鹿市鹿央町合里158-1"", ""備考"": """", ""共通ID"": ""E4320800024111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""鹿央市民センター"", ""経度"": ""130.68384414552"", ""緯度"": ""32.974807472132""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 山鹿市鹿央町合里158-1 -> 熊本県山鹿市鹿央町合里158-1,00000967,247,247,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.974762,130.683846,,,unmatched,manual_no_match,,,32.974807472132,130.68384414552,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4320800047111,b57eea852522fbda2ffa,山鹿市,鹿本市民センター,未開設(Web開設一覧に掲載なし),false,,,熊本県山鹿市鹿本町来民686-1,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,90091e556a3bd24b4f87ad41bc3d8aa4a3f366ee654bea1e0bd055cfd10d7718,"{""ルート検索"": """", ""住所"": ""熊本県山鹿市鹿本町来民686-1"", ""市町村"": ""山鹿市"", ""混雑状況"": """", ""避難所名"": ""鹿本市民センター"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,762,E4320800047111,E4320800047111,鹿本市民センター,熊本県山鹿市鹿本町来民686-1,1,,,33.001175,130.739469,"[{""共通ID"": ""E4320800047111"", ""経度"": ""130.739469"", ""緯度"": ""33.001175""}]",,"[{""NO"": ""762"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県山鹿市鹿本町来民686-1"", ""備考"": """", ""共通ID"": ""E4320800047111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""鹿本市民センター"", ""経度"": ""130.739469"", ""緯度"": ""33.001175""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 山鹿市鹿本町来民686-1 -> 熊本県山鹿市鹿本町来民686-1,00000949,296,296,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,33.001152,130.739469,,,unmatched,manual_no_match,,,33.001175,130.739469,gsi_reference,reference_latitude_longitude,complete
2026-08-04,2026-08-04T01:50:31+09:00,26/08/04 01:50時点の避難所状況の一覧です。,2026-08-04T01:50+09:00,ref:E4344100010111,a6b76aad704ce6d3038f,御船町,七滝分館,未開設(Web開設一覧に掲載なし),false,,,熊本県御船町七滝2602-4,,closed;opening_status_changed;congestion_changed;address_changed,開設,平常,,https://portal.bousai.pref.kumamoto.jp/sp.html?p=evacuation%2Fshelter&l=15-0&ll=32.63819999999999%2C130.77610000000004&z=9&municipalityCd=430005,73b00fa724cd30f2d91a67db1324cc52d4a6de232e8b08cb01f7b94f2a7d3ea2,"{""ルート検索"": """", ""住所"": ""熊本県御船町七滝2602-4"", ""市町村"": ""御船町"", ""混雑状況"": """", ""避難所名"": ""七滝分館"", ""開設状況"": ""未開設（Web開設一覧に掲載なし）""}",matched,exact_name_address,1.000,1,610,E4344100010111,E4344100010111,七滝分館,熊本県御船町七滝2602-4,1,,,32.725252,130.869545,"[{""共通ID"": ""E4344100010111"", ""経度"": ""130.869545"", ""緯度"": ""32.725252""}]",,"[{""NO"": ""610"", ""その他市町村長が必要と認める事項"": """", ""住所"": ""熊本県御船町七滝2602-4"", ""備考"": """", ""共通ID"": ""E4344100010111"", ""受入対象者"": """", ""指定緊急避難場所との住所同一"": ""1"", ""施設・場所名"": ""七滝分館"", ""経度"": ""130.869545"", ""緯度"": ""32.725252""}]",[],reference/43000_1.csv,17068228366013260d8a1e506e0843bc9c0736e8ec7031a9e384d0d32abd7578,開設から未開設または閉鎖へ変化 / 開設状況: 開設 -> 未開設(Web開設一覧に掲載なし) / 混雑状況: 平常 -> (空欄) / 住所: 御船町七滝2602-4 -> 熊本県御船町七滝2602-4,00001707,31,31,kumamoto_portal_map,2026-08-01T00:28:20+09:00,matched,exact_municipality_name_address,1.000,32.723482,130.864756,,,unmatched,manual_no_match,,,32.725252,130.869545,gsi_reference,reference_latitude_longitude,complete
